heure,minute,seconde,temps1,temps2,temps3,tempsMin,Console,min,nb1,nb2,afficheTemps,heu,min,sec,
,,,,,,,Entrez le premier temps en secondes :,,,,,,,,
,,,16789,,,,,,,,,,,,
,,,,,,,Entrez le deuxième temps en secondes :,,,,,,,,
,,,,27183,,,,,,,,,,,
,,,,,,,,,16789,,,,,,
,,,,,,,,,,27183,,,,,
,,,,,,16789,,,,,,,,,
,,,,,,,Entrez le troisième temps en secondes :,,,,,,,,
,,,,,16140,,,,,,,,,,
,,,,,,,,,16789,,,,,,
,,,,,,16140,,,,16140,,,,,
4,,,,,,,,,,,,,,,
,,,,,,1740,,,,,,,,,
,29,,,,,,,,,,,,,,
,,0,,,,,,,,,,,,,
,,,,,,,Le temps minimum est de,,,,,,,,
,,,,,,,,,,,,4,,,
,,,,,,,,,,,,,29,,
,,,,,,,,,,,,,,0,
,,,,,,,4h et 29min.,,,,,,,,
